tau_g,tau_b,epochs,retain_test,forget_test,forget_train,zrf,mia,actv_dist_retrain
0.1,0.1,1,72.43,0.0,0.12,0.7978,0.8358,1.0142
0.1,0.1,3,73.47,0.4,0.0,0.9491,0.8197,0.9168
0.1,0.1,5,73.61,0.9,0.02,0.9604,0.844,0.9101
0.1,0.3,1,71.84,0.5,0.5,0.9731,0.8338,0.904
0.1,0.3,3,73.08,0.3,0.04,0.9829,0.8322,0.9177
0.1,0.3,5,72.94,0.2,0.0,0.987,0.8353,0.9287
0.1,0.5,1,72.29,0.5,1.02,0.9797,0.8338,0.9119
0.1,0.5,3,73.1,0.6,0.14,0.9877,0.8304,0.9278
0.1,0.5,5,72.8,0.6,0.0,0.991,0.8442,0.935
0.1,0.7,1,72.56,1.1,1.68,0.9814,0.8329,0.9167
0.1,0.7,3,73.18,0.7,0.3,0.9887,0.8352,0.93
0.1,0.7,5,72.97,1.1,0.06,0.9914,0.8331,0.9347
0.1,1.0,1,72.93,2.4,3.26,0.9814,0.8472,0.918
0.1,1.0,3,73.23,1.4,0.72,0.989,0.8312,0.9309
0.1,1.0,5,73.02,1.3,0.12,0.9916,0.818,0.935
0.1,3.0,1,72.53,5.6,7.34,0.98,0.8336,0.921
0.1,3.0,3,73.18,3.1,2.56,0.9879,0.8333,0.9288
0.1,3.0,5,72.94,1.6,0.4,0.9915,0.8352,0.9349
0.1,5.0,1,72.79,5.7,7.84,0.9798,0.8369,0.9224
0.1,5.0,3,73.22,3.0,2.96,0.9878,0.8333,0.9287
0.1,5.0,5,73.1,1.8,0.54,0.9913,0.8356,0.934
0.1,7.0,1,72.72,5.8,7.86,0.9801,0.8419,0.9235
0.1,7.0,3,73.32,2.8,2.82,0.9879,0.8323,0.9289
0.1,7.0,5,73.27,1.7,0.58,0.9913,0.8333,0.9339
0.1,10.0,1,72.88,5.1,7.54,0.9805,0.8333,0.9245
0.1,10.0,3,73.33,3.0,2.66,0.9881,0.8151,0.9293
0.1,10.0,5,73.22,1.8,0.62,0.9913,0.8371,0.9337
0.3,0.1,1,72.73,0.0,0.04,0.7867,0.8332,1.0204
