tau_g,tau_b,epochs,Retain_test,Forget_test,forget_train,MIA,ZRF,dist_bad_vs_student
0.1,0.1,10,65.94,67.0,9.9,0.8332,0.9142,
0.1,0.1,15,68.47,69.0,10.8,0.8116,0.9007,
0.1,0.1,20,69.38,71.2,10.3,0.7989,0.9029,
0.1,0.3,10,65.06,65.7,12.42,0.8244,0.9264,
0.1,0.3,15,65.71,65.7,10.96,0.8142,0.9214,
0.1,0.3,20,67.26,68.4,10.08,0.8057,0.911,
0.1,0.5,10,64.57,64.1,16.78,0.8309,0.9316,
0.1,0.5,15,66.8,67.9,11.48,0.8114,0.9169,
0.1,0.5,20,64.82,65.8,9.98,0.8061,0.9206,
0.1,0.7,10,68.1,67.9,24.62,0.8251,0.9222,
0.1,0.7,15,64.63,64.5,13.08,0.8133,0.9253,
0.1,0.7,20,64.59,66.0,9.98,0.7991,0.92,
0.1,1.0,10,70.09,69.4,35.32,0.8309,0.917,
0.1,1.0,15,62.74,62.6,15.0,0.8111,0.9311,
0.1,1.0,20,65.8,65.8,10.68,0.7909,0.9166,
0.1,3.0,10,70.38,69.7,52.8,0.8333,0.9324,
0.1,3.0,15,64.57,63.9,26.26,0.8257,0.9325,
0.1,3.0,20,64.29,64.5,17.88,0.8049,0.9236,
0.1,5.0,10,69.19,69.2,53.42,0.8344,0.9393,
0.1,5.0,15,66.94,67.0,30.8,0.8168,0.9263,
0.1,5.0,20,65.26,65.2,19.46,0.8108,0.92,
0.1,7.0,10,71.88,71.8,55.94,0.8339,0.9241,
0.1,7.0,15,64.74,63.6,29.04,0.8151,0.9335,
0.1,7.0,20,63.97,65.2,18.92,0.8085,0.9246,
0.1,10.0,10,71.43,71.0,53.86,0.8308,0.9236,
0.1,10.0,15,63.71,63.4,26.92,0.8221,0.9349,
0.1,10.0,20,62.28,63.1,17.84,0.8146,0.9307,
0.3,0.1,10,67.87,68.0,10.6,0.7806,0.7967,
0.3,0.1,15,69.41,70.6,11.26,0.7382,0.7461,
0.3,0.1,20,66.97,68.2,10.16,0.735,0.785,
0.3,0.3,10,70.57,71.3,8.96,0.7329,0.8217,
0.3,0.3,15,73.2,73.4,9.62,0.6758,0.7859,
0.3,0.3,20,74.32,74.6,10.06,0.6465,0.7684,
0.3,0.5,10,70.64,72.2,9.68,0.7233,0.8272,
0.3,0.5,15,73.62,74.8,11.16,0.6567,0.77,
0.3,0.5,20,74.2,74.6,9.7,0.6215,0.7688,
0.3,0.7,10,70.63,71.8,11.42,0.7113,0.8349,
0.3,0.7,15,73.62,74.5,11.58,0.6333,0.7735,
0.3,0.7,20,73.97,74.2,10.2,0.6069,0.7776,
0.3,1.0,10,71.82,72.3,15.88,0.6974,0.8256,
0.3,1.0,15,74.26,75.4,11.78,0.6267,0.7554,
0.3,1.0,20,73.01,72.6,9.76,0.6045,0.7845,
0.3,3.0,10,73.57,74.2,48.72,0.7737,0.8483,
0.3,3.0,15,71.46,71.4,14.98,0.6681,0.8119,
0.3,3.0,20,72.1,71.8,9.92,0.6132,0.7898,
0.3,5.0,10,73.9,74.5,52.12,0.7742,0.851,
0.3,5.0,15,71.66,71.7,17.64,0.6833,0.8119,
0.3,5.0,20,70.6,70.3,10.54,0.6373,0.8095,
0.3,7.0,10,73.81,74.1,50.92,0.7677,0.851,
0.3,7.0,15,71.24,70.7,16.74,0.6757,0.8132,
0.3,7.0,20,70.93,70.4,10.68,0.6255,0.7982,
0.3,10.0,10,73.93,74.2,49.0,0.76,0.8422,
0.3,10.0,15,71.9,71.9,16.2,0.6657,0.7957,
0.3,10.0,20,71.43,71.2,10.78,0.6225,0.7897,
0.5,0.1,10,65.71,66.6,12.82,0.7794,0.6768,
0.5,0.1,15,68.87,71.1,11.36,0.7095,0.6105,
0.5,0.1,20,65.14,66.2,9.76,0.7526,0.6575,
0.5,0.3,10,73.86,72.9,11.22,0.6848,0.6696,
0.5,0.3,15,75.41,76.2,9.42,0.6428,0.6246,
0.5,0.3,20,76.83,76.8,9.3,0.6383,0.5736,
0.5,0.5,10,74.36,73.7,11.4,0.664,0.6684,
